NAME_CHN,adcode,level,x,y
阿图什市,653001,district,76.173,39.712
开远市,532502,district,103.258,23.713
安新县,130632,district,115.931,38.929
个旧市,532501,district,103.154,23.36
望都县,130631,district,115.154,38.707
曲阳县,130634,district,114.704,38.619
易县,130633,district,115.501,39.352
海城区,450502,district,109.107,21.468
顺平县,130636,district,115.132,38.845
乌恰县,653024,district,75.259,39.716
蠡县,130635,district,115.583,38.496
阿合奇县,653023,district,78.45,40.937
雄县,130638,district,116.107,38.99
博野县,130637,district,115.461,38.458
弥勒市,532504,district,103.436,24.408
阿克陶县,653022,district,75.945,39.147
蒙自市,532503,district,103.385,23.366
元阳县,532528,district,102.837,23.219
泸西县,532527,district,103.759,24.532
金平苗族瑶族傣族自治县,532530,district,103.228,22.779
红河县,532529,district,102.421,23.369
河口瑶族自治县,532532,district,103.961,22.507
绿春县,532531,district,102.392,22.993
万秀区,450403,district,111.315,23.471
龙圩区,450406,district,111.246,23.409
长洲区,450405,district,111.275,23.477
建水县,532524,district,102.82,23.618
钟山区,520201,district,104.846,26.584
屏边苗族自治县,532523,district,103.687,22.987
乐至县,512022,district,105.031,30.275
六枝特区,520203,district,105.474,26.21
安岳县,512021,district,105.336,30.099
石屏县,532525,district,102.484,23.712
杂多县,632722,district,95.293,32.891
治多县,632724,district,95.616,33.852
称多县,632723,district,97.11,33.367
曲麻莱县,632726,district,95.8,34.126
定州市,130682,district,114.991,38.517
囊谦县,632725,district,96.479,32.203
涿州市,130681,district,115.973,39.485
安多县,540624,district,91.681,32.26
藤县,450422,district,110.931,23.373
高碑店市,130684,district,115.882,39.327
聂荣县,540623,district,92.303,32.107
苍梧县,450421,district,111.544,23.845
安国市,130683,district,115.331,38.421
索县,540626,district,93.784,31.886
申扎县,540625,district,88.709,30.929
和田市,653201,district,79.927,37.108
巴青县,540628,district,94.054,31.918
大安市,220882,district,124.291,45.507
班戈县,540627,district,90.011,31.394
洮南市,220881,district,122.783,45.339
双湖县,540630,district,88.838,33.186
水城县,520221,district,104.956,26.54
尼玛县,540629,district,87.236,31.784
滦平县,130824,district,117.337,40.936
比如县,540622,district,93.68,31.479
丰宁满族自治县,130826,district,116.651,41.209
嘉黎县,540621,district,93.232,30.64
隆化县,130825,district,117.736,41.316
围场满族蒙古族自治县,130828,district,117.764,41.949
宽城满族自治县,130827,district,118.488,40.607
蒙山县,450423,district,110.522,24.199
墨玉县,653222,district,79.736,37.271
芙蓉区,430102,district,112.988,28.193
和田县,653221,district,79.819,37.12
望城区,430112,district,112.819,28.347
景泰县,620423,district,104.066,37.193
雨花区,430111,district,113.016,28.109
洛浦县,653224,district,80.184,37.074
岳麓区,430104,district,112.911,28.213
皮山县,653223,district,78.282,37.616
天心区,430103,district,112.973,28.192
于田县,653226,district,81.667,36.854
策勒县,653225,district,80.803,37.001
开福区,430105,district,112.985,28.201
民丰县,653227,district,82.692,37.064
乐平市,360281,district,117.129,28.967
平泉市,130881,district,118.69,41.005
长沙县,430121,district,113.08,28.237
港口区,450602,district,108.346,21.614
防城区,450603,district,108.358,21.764
岳普湖县,653128,district,76.772,39.235
麦盖提县,653127,district,77.651,38.903
安源区,360302,district,113.855,27.625
巴楚县,653130,district,78.55,39.783
伽师县,653129,district,76.723,39.488
塔什库尔干塔吉克自治县,653131,district,75.228,37.775
清镇市,520181,district,106.47,26.551
上栗县,360322,district,113.8,27.877
莲花县,360321,district,113.955,27.127
芦溪县,360323,district,114.041,27.633
湘东区,360313,district,113.745,27.639
上思县,450621,district,107.982,22.151
铁山港区,450512,district,109.45,21.592
雁江区,512002,district,104.642,30.121
银海区,450503,district,109.118,21.444
双桥区,130802,district,117.939,40.976
鹰手营子矿区,130804,district,117.661,40.546
双滦区,130803,district,117.797,40.959
共青城市,360482,district,115.805,29.247
瑞昌市,360481,district,115.669,29.676
庐山市,360483,district,116.043,29.456
合浦县,450521,district,109.2,21.663
玉树市,632701,district,97.008,33.003
兴隆县,130822,district,117.507,40.418
白银区,620402,district,104.174,36.545
承德县,130821,district,118.172,40.768
平川区,620403,district,104.819,36.729
渝水区,360502,district,114.923,27.819
会宁县,620422,district,105.054,35.692
靖远县,620421,district,104.676,36.571
马尔康市,513201,district,102.221,31.899
任丘市,130982,district,116.106,38.706
泊头市,130981,district,116.57,38.073
濂溪区,360402,district,115.99,29.676
柴桑区,360404,district,115.892,29.61
浔阳区,360403,district,115.995,29.724
理县,513222,district,103.165,31.436
汶川县,513221,district,103.58,31.474
河间市,130984,district,116.089,38.441
黄骅市,130983,district,117.343,38.369
洪江市,431281,district,109.831,27.201
安次区,131002,district,116.694,39.502
辉县市,410782,district,113.802,35.461
卫辉市,410781,district,114.065,35.404
广阳区,131003,district,116.713,39.521
解放区,410802,district,113.226,35.241
马村区,410804,district,113.321,35.265
修水县,360424,district,114.573,29.032
中站区,410803,district,113.175,35.236
武宁县,360423,district,115.105,29.26
德安县,360426,district,115.762,29.327
娄星区,431302,district,112.008,27.726
永修县,360425,district,115.809,29.018
都昌县,360428,district,116.205,29.275
德令哈市,632802,district,97.37,37.374
彭泽县,360430,district,116.555,29.898
新华区,130902,district,116.873,38.308
格尔木市,632801,district,94.905,36.401
湖口县,360429,district,116.244,29.726
凉州区,620602,district,102.634,37.93
博爱县,410822,district,113.069,35.17
修武县,410821,district,113.447,35.229
山阳区,410811,district,113.267,35.214
运河区,130903,district,116.84,38.307
都兰县,632822,district,98.089,36.298
乌兰县,632821,district,98.479,36.93
秦州区,620502,district,105.724,34.578
凤泉区,410704,district,113.906,35.379
卫滨区,410703,district,113.866,35.304
鹤城区,431202,district,109.982,27.548
吴桥县,130928,district,116.391,37.628
南皮县,130927,district,116.709,38.042
孟村回族自治县,130930,district,117.105,38.057
献县,130929,district,116.123,38.189
济源市,419001,city,112.59,35.09
青县,130922,district,116.838,38.569
红旗区,410702,district,113.878,35.302
沧县,130921,district,117.007,38.219
海兴县,130924,district,117.496,38.141
东光县,130923,district,116.542,37.886
天峻县,632823,district,99.02,37.299
肃宁县,130926,district,115.835,38.427
麦积区,620503,district,105.897,34.563
海西蒙古族藏族自治州直辖,632825,district,95.357,37.853
新乡县,410721,district,113.806,35.19
盐山县,130925,district,117.229,38.056
康定市,513301,district,101.964,30.05
获嘉县,410724,district,113.657,35.261
延津县,410726,district,114.2,35.149
沅陵县,431222,district,110.399,28.455
原阳县,410725,district,113.965,35.054
中方县,431221,district,109.948,27.437
牧野区,410711,district,113.897,35.312
秦安县,620522,district,105.673,34.862
清水县,620521,district,106.139,34.752
武山县,620524,district,104.891,34.721
甘谷县,620523,district,105.332,34.747
张家川回族自治县,620525,district,106.212,34.993
长垣县,410728,district,114.673,35.196
溆浦县,431224,district,110.593,27.903
封丘县,410727,district,114.423,35.04
辰溪县,431223,district,110.196,28.005
麻阳苗族自治县,431226,district,109.802,27.865
会同县,431225,district,109.72,26.87
甘孜县,513328,district,99.991,31.619
芷江侗族自治县,431228,district,109.687,27.437
三河市,131082,district,117.077,39.982
炉霍县,513327,district,100.679,31.392
新晃侗族自治县,431227,district,109.174,27.359
霸州市,131081,district,116.392,39.117
德格县,513330,district,98.579,31.806
通道侗族自治县,431230,district,109.783,26.158
新龙县,513329,district,100.312,30.938
靖州苗族侗族自治县,431229,district,109.691,26.573
石渠县,513332,district,98.1,32.975
明光市,341182,district,117.998,32.781
白玉县,513331,district,98.824,31.208
天长市,341181,district,119.011,32.681
理塘县,513334,district,100.269,29.991
色达县,513333,district,100.331,32.268
冀州区,131103,district,115.579,37.542
高昌区,650402,district,89.182,42.947
泸定县,513322,district,102.233,29.912
涟源市,431382,district,111.67,27.692
冷水江市,431381,district,111.434,27.685
九龙县,513324,district,101.506,29.001
丹巴县,513323,district,101.886,30.877
道孚县,513326,district,101.123,30.978
雅江县,513325,district,101.015,30.032
桃城区,131102,district,115.694,37.732
如皋市,320682,district,120.566,32.391
乡城县,513336,district,99.799,28.93
启东市,320681,district,121.659,31.81
武邑县,131122,district,115.892,37.803
巴塘县,513335,district,99.109,30.005
华龙区,410902,district,115.031,35.76
海门市,320684,district,121.176,31.893
枣强县,131121,district,115.726,37.511
得荣县,513338,district,99.288,28.711
饶阳县,131124,district,115.726,38.232
稻城县,513337,district,100.296,29.037
武强县,131123,district,115.97,38.036
故城县,131126,district,115.966,37.35
托克逊县,650422,district,88.655,42.793
安平县,131125,district,115.519,38.233
鄯善县,650421,district,90.212,42.865
连云区,320703,district,119.366,34.739
海州区,320706,district,119.179,34.601
若尔盖县,513232,district,102.963,33.575
阿坝县,513231,district,101.7,32.904
赣榆区,320707,district,119.128,34.839
红原县,513233,district,102.544,32.793
南谯区,341103,district,118.296,32.329
松潘县,513224,district,103.599,32.638
茂县,513223,district,103.85,31.68
金川县,513226,district,102.064,31.476
九寨沟市,513225,district,104.236,33.262
黑水县,513228,district,102.99,32.061
小金县,513227,district,102.363,30.999
壤塘县,513230,district,100.979,32.264
阜城县,131128,district,116.164,37.869
景县,131127,district,116.258,37.686
濮阳县,410928,district,115.023,35.71
台前县,410927,district,115.855,35.996
琅琊区,341102,district,118.316,32.303
昆山市,320583,district,120.958,31.381
香河县,131024,district,117.007,39.757
永清县,131023,district,116.498,39.319
来安县,341122,district,118.433,32.45
太仓市,320585,district,121.112,31.452
文安县,131026,district,116.46,38.866
大城县,131025,district,116.64,38.699
全椒县,341124,district,118.268,32.093
大厂回族自治县,131028,district,116.986,39.889
凤阳县,341126,district,117.562,32.867
清丰县,410922,district,115.107,35.902
定远县,341125,district,117.683,32.527
南乐县,410923,district,115.204,36.075
范县,410926,district,115.504,35.851
通州区,320612,district,121.073,32.084
港闸区,320611,district,120.833,32.04
固安县,131022,district,116.299,39.436
崇川区,320602,district,120.866,32.015
和平区,210102,district,123.406,41.788
如东县,320623,district,121.186,32.311
浑南区,210112,district,123.458,41.741
苏家屯区,210111,district,123.341,41.665
界首市,341282,district,115.362,33.261
于洪区,210114,district,123.31,41.795
沈北新区,210113,district,123.521,42.052
沁源县,140431,district,112.34,36.5
辽中区,210115,district,122.731,41.512
武陟县,410823,district,113.408,35.098
海安县,320621,district,120.465,32.54
新化县,431322,district,111.306,27.737
温县,410825,district,113.079,34.941
大东区,210104,district,123.469,41.808
双峰县,431321,district,112.198,27.459
沈河区,210103,district,123.445,41.795
德昌县,513424,district,102.178,27.403
铁西区,210106,district,123.35,41.787
屯留县,140424,district,112.892,36.314
盐源县,513423,district,101.508,27.423
皇姑区,210105,district,123.405,41.822
襄垣县,140423,district,113.05,36.532
会东县,513426,district,102.578,26.63
黎城县,140426,district,113.387,36.502
会理县,513425,district,102.249,26.658
平顺县,140425,district,113.438,36.2
普格县,513428,district,102.541,27.376
长子县,140428,district,112.884,36.119
宁南县,513427,district,102.757,27.065
壶关县,140427,district,113.206,36.11
金阳县,513430,district,103.248,27.695
沁县,140430,district,112.701,36.757
布拖县,513429,district,102.808,27.709
图们市,222402,district,129.846,42.966
武乡县,140429,district,112.865,36.834
延吉市,222401,district,129.508,42.891
珲春市,222404,district,130.365,42.871
敦化市,222403,district,128.229,43.366
和龙市,222406,district,129.008,42.547
龙井市,222405,district,129.425,42.771
木里藏族自治县,513422,district,101.28,27.926
喜德县,513432,district,102.412,28.305
昭觉县,513431,district,102.843,28.01
越西县,513434,district,102.508,28.639
